date,recv,seq,name,value
2017-05-17 10:14:14.827860,2017-05-17 10:14:14.883828,3445,sensor06-bend,1
2017-05-17 10:15:33.814778,2017-05-17 10:15:33.852635,3448,sensor06-bend,0
2017-05-17 10:15:36.520152,2017-05-17 10:15:36.555805,3449,sensor06-bend,1
2017-05-17 10:17:22.472580,2017-05-17 10:17:22.509006,3454,sensor06-bend,0
2017-05-17 10:17:25.177742,2017-05-17 10:17:25.180883,3455,sensor06-bend,1
2017-05-17 10:19:23.261820,2017-05-17 10:19:23.305966,3460,sensor06-bend,0
2017-05-17 10:19:25.969073,2017-05-17 10:19:26.024718,3461,sensor06-bend,1
2017-05-17 10:21:23.547326,2017-05-17 10:21:23.587259,3466,sensor06-bend,0
2017-05-17 10:21:26.254373,2017-05-17 10:21:26.306012,3467,sensor06-bend,1
2017-05-17 10:23:24.229637,2017-05-17 10:23:24.259264,3472,sensor06-bend,0
2017-05-17 10:23:26.936836,2017-05-17 10:23:26.978015,3473,sensor06-bend,1
2017-05-17 10:25:24.007104,2017-05-17 10:25:24.040599,3478,sensor06-bend,0
2017-05-17 10:25:26.714097,2017-05-17 10:25:26.759351,3479,sensor06-bend,1
2017-05-17 10:27:25.190904,2017-05-17 10:27:25.212516,3484,sensor06-bend,0
2017-05-17 10:27:27.898078,2017-05-17 10:27:27.931268,3485,sensor06-bend,1
2017-05-17 10:29:25.472755,2017-05-17 10:29:25.478271,3490,sensor06-bend,0
2017-05-17 10:29:28.280463,2017-05-17 10:29:28.290772,3491,sensor06-bend,1
2017-05-17 10:31:25.665394,2017-05-17 10:31:25.681481,3496,sensor06-bend,0
2017-05-17 10:31:28.372907,2017-05-17 10:31:28.400233,3497,sensor06-bend,1
2017-05-17 10:33:25.848966,2017-05-17 10:33:25.853442,3502,sensor06-bend,0
2017-05-17 10:33:28.555701,2017-05-17 10:33:28.572194,3503,sensor06-bend,1
2017-05-17 10:35:27.430344,2017-05-17 10:35:27.431654,3508,sensor06-bend,0
2017-05-17 10:35:30.135566,2017-05-17 10:35:30.150362,3509,sensor06-bend,1
2017-05-17 10:37:27.115497,2017-05-17 10:37:27.150489,3514,sensor06-bend,0
2017-05-17 10:37:29.821969,2017-05-17 10:37:29.869241,3515,sensor06-bend,1
2017-05-17 10:51:30.471322,2017-05-17 10:51:30.479215,3524,sensor06-bend,0
2017-05-17 10:51:33.177782,2017-05-17 10:51:33.197967,3525,sensor06-bend,1
2017-05-17 10:52:37.322627,2017-05-17 10:52:37.338638,3528,sensor06-bend,0
2017-05-17 10:52:40.029080,2017-05-17 10:52:40.057389,3529,sensor06-bend,1
2017-05-17 10:59:28.595483,2017-05-17 10:59:28.604555,3534,sensor06-bend,0
2017-05-17 10:59:31.300993,2017-05-17 10:59:31.323265,3535,sensor06-bend,1
2017-05-17 11:03:08.915510,2017-05-17 11:03:08.932837,3540,sensor06-bend,0
2017-05-17 11:03:11.622473,2017-05-17 11:03:11.651590,3541,sensor06-bend,1
2017-05-17 11:06:07.632993,2017-05-17 11:06:07.667340,3546,sensor06-bend,0
2017-05-17 11:06:10.239811,2017-05-17 11:06:10.292299,3547,sensor06-bend,1
2017-05-17 11:07:20.106672,2017-05-17 11:07:20.151764,3550,sensor06-bend,0
2017-05-17 11:07:22.817163,2017-05-17 11:07:22.870475,3551,sensor06-bend,1
2017-05-17 11:08:31.082804,2017-05-17 11:08:31.104943,3556,sensor06-bend,0
2017-05-17 11:08:33.689340,2017-05-17 11:08:33.729945,3557,sensor06-bend,1
2017-05-17 11:09:46.762336,2017-05-17 11:09:46.776871,3562,sensor06-bend,0
2017-05-17 11:09:49.468986,2017-05-17 11:09:49.495623,3563,sensor06-bend,1
2017-05-17 12:21:18.858104,2017-05-17 12:21:18.908188,3572,sensor06-bend,0
2017-05-17 12:21:21.063544,2017-05-17 12:21:21.080063,3573,sensor06-bend,1
2017-05-17 12:29:21.186307,2017-05-17 12:29:21.205407,3578,sensor06-bend,0
2017-05-17 12:29:23.591446,2017-05-17 12:29:23.627282,3579,sensor06-bend,1
2017-05-17 13:07:36.854823,2017-05-17 13:07:36.863292,3582,sensor06-bend,0
2017-05-17 13:07:39.259914,2017-05-17 13:07:39.285168,3583,sensor06-bend,1
2017-05-17 13:11:55.250026,2017-05-17 13:11:55.285308,3588,sensor06-bend,0
2017-05-17 13:11:57.656531,2017-05-17 13:11:57.691602,3589,sensor06-bend,1
2017-05-17 13:13:02.410701,2017-05-17 13:13:02.457273,3592,sensor06-bend,0
2017-05-17 13:13:04.916732,2017-05-17 13:13:04.926026,3593,sensor06-bend,1
2017-05-17 13:14:49.974843,2017-05-17 13:14:50.019850,3598,sensor06-bend,0
2017-05-17 13:14:52.479500,2017-05-17 13:14:52.488601,3599,sensor06-bend,1
2017-05-17 13:16:34.819016,2017-05-17 13:16:34.848050,3604,sensor06-bend,0
2017-05-17 13:16:37.323407,2017-05-17 13:16:37.363678,3605,sensor06-bend,1
2017-05-17 13:18:21.971165,2017-05-17 13:18:22.020001,3610,sensor06-bend,0
2017-05-17 13:18:24.477044,2017-05-17 13:18:24.488754,3611,sensor06-bend,1
2017-05-17 13:20:06.815624,2017-05-17 13:20:06.848158,3616,sensor06-bend,0
2017-05-17 13:20:09.322109,2017-05-17 13:20:09.363827,3617,sensor06-bend,1
2017-05-17 13:21:54.771507,2017-05-17 13:21:54.785778,3622,sensor06-bend,0
2017-05-17 13:21:57.277227,2017-05-17 13:21:57.301405,3623,sensor06-bend,1
2017-05-17 14:02:45.631273,2017-05-17 14:02:45.662482,3632,sensor06-bend,0
2017-05-17 14:02:46.233010,2017-05-17 14:02:46.271899,3633,sensor06-bend,1
2017-05-17 14:02:46.634221,2017-05-17 14:02:46.646857,3634,sensor06-bend,0
2017-05-17 14:02:47.235961,2017-05-17 14:02:47.256275,3635,sensor06-bend,1
2017-05-17 14:03:47.074885,2017-05-17 14:03:47.100068,3640,sensor06-bend,0
2017-05-17 14:03:47.676675,2017-05-17 14:03:47.725025,3641,sensor06-bend,1
2017-05-17 14:03:48.077903,2017-05-17 14:03:48.084444,3642,sensor06-bend,0
2017-05-17 14:03:48.679481,2017-05-17 14:03:48.709444,3643,sensor06-bend,1
2017-05-17 15:58:33.482445,2017-05-17 15:58:33.503448,3650,sensor06-bend,0
2017-05-17 15:58:35.086938,2017-05-17 15:58:35.128451,3651,sensor06-bend,1
2017-05-17 16:52:10.013024,2017-05-17 16:52:10.021323,3658,sensor06-bend,0
2017-05-17 16:52:12.717959,2017-05-17 16:52:12.724493,3659,sensor06-bend,1
2017-05-17 16:53:23.584850,2017-05-17 16:53:23.599544,3662,sensor06-bend,0
2017-05-17 16:53:26.392671,2017-05-17 16:53:26.412046,3663,sensor06-bend,1
2017-05-17 16:59:33.651079,2017-05-17 16:59:33.693558,3668,sensor06-bend,0
2017-05-17 16:59:36.357967,2017-05-17 16:59:36.365434,3669,sensor06-bend,1
2017-05-17 17:45:19.960452,2017-05-17 17:45:19.976764,3674,sensor06-bend,0
2017-05-17 17:45:22.668667,2017-05-17 17:45:22.695517,3675,sensor06-bend,1
2017-05-17 17:49:57.819725,2017-05-17 17:49:57.851919,3680,sensor06-bend,0
2017-05-17 17:50:00.625225,2017-05-17 17:50:00.664464,3681,sensor06-bend,1
2017-05-17 17:51:11.890200,2017-05-17 17:51:11.930097,3684,sensor06-bend,0
2017-05-17 17:51:14.596388,2017-05-17 17:51:14.648862,3685,sensor06-bend,1
2017-05-17 17:53:09.062707,2017-05-17 17:53:09.102099,3690,sensor06-bend,0
2017-05-17 17:53:11.767823,2017-05-17 17:53:11.820807,3691,sensor06-bend,1
2017-05-17 17:55:09.438762,2017-05-17 17:55:09.477144,3696,sensor06-bend,0
2017-05-17 17:55:12.243027,2017-05-17 17:55:12.289687,3697,sensor06-bend,1
2017-05-17 17:57:09.723947,2017-05-17 17:57:09.742895,3702,sensor06-bend,0
2017-05-17 17:57:12.531071,2017-05-17 17:57:12.555399,3703,sensor06-bend,1
2017-05-17 17:59:10.312990,2017-05-17 17:59:10.352356,3708,sensor06-bend,0
2017-05-17 17:59:13.120492,2017-05-17 17:59:13.117983,3709,sensor06-bend,1
2017-05-17 18:01:10.791120,2017-05-17 18:01:10.836818,3714,sensor06-bend,0
2017-05-17 18:01:13.498077,2017-05-17 18:01:13.508653,3715,sensor06-bend,1
2017-05-17 18:03:10.475778,2017-05-17 18:03:10.508778,3720,sensor06-bend,0
2017-05-17 18:03:13.283541,2017-05-17 18:03:13.321279,3721,sensor06-bend,1
2017-05-17 18:05:11.958327,2017-05-17 18:05:11.977614,3726,sensor06-bend,0
2017-05-17 18:05:14.765876,2017-05-17 18:05:14.805698,3727,sensor06-bend,1
2017-05-17 18:07:12.642427,2017-05-17 18:07:12.649575,3732,sensor06-bend,0
2017-05-17 18:07:15.348407,2017-05-17 18:07:15.368327,3733,sensor06-bend,1
2017-05-17 18:09:13.023681,2017-05-17 18:09:13.040286,3738,sensor06-bend,0
2017-05-17 18:09:15.728747,2017-05-17 18:09:15.759042,3739,sensor06-bend,1
2017-05-17 18:11:12.505131,2017-05-17 18:11:12.524746,3744,sensor06-bend,0
2017-05-17 18:11:15.210523,2017-05-17 18:11:15.243454,3745,sensor06-bend,1
2017-05-17 18:18:12.482184,2017-05-17 18:18:12.509382,3754,sensor06-bend,0
2017-05-17 18:18:15.188781,2017-05-17 18:18:15.228130,3755,sensor06-bend,1
2017-05-17 18:19:26.957742,2017-05-17 18:19:26.993849,3758,sensor06-bend,0
2017-05-17 18:19:29.765088,2017-05-17 18:19:29.806351,3759,sensor06-bend,1
2017-05-17 18:23:27.522189,2017-05-17 18:23:27.556519,3764,sensor06-bend,0
2017-05-17 18:23:30.331061,2017-05-17 18:23:30.369022,3765,sensor06-bend,1
2017-05-17 18:24:40.895094,2017-05-17 18:24:40.931572,3768,sensor06-bend,0
2017-05-17 18:24:43.702272,2017-05-17 18:24:43.759656,3769,sensor06-bend,1
2017-05-17 18:26:38.573919,2017-05-17 18:26:38.619113,3774,sensor06-bend,0
2017-05-17 18:26:41.280777,2017-05-17 18:26:41.337864,3775,sensor06-bend,1
2017-05-17 18:28:38.451383,2017-05-17 18:28:38.494241,3780,sensor06-bend,0
2017-05-17 18:28:41.159059,2017-05-17 18:28:41.212998,3781,sensor06-bend,1
2017-05-17 18:30:38.634507,2017-05-17 18:30:38.666203,3786,sensor06-bend,0
2017-05-17 18:30:41.442067,2017-05-17 18:30:41.478704,3787,sensor06-bend,1
2017-05-17 18:32:39.129688,2017-05-17 18:32:39.135038,3792,sensor06-bend,0
2017-05-17 18:32:41.935735,2017-05-17 18:32:41.963121,3793,sensor06-bend,1
2017-05-17 18:34:40.819123,2017-05-17 18:34:40.822625,3798,sensor06-bend,0
2017-05-17 18:34:43.624679,2017-05-17 18:34:43.635126,3799,sensor06-bend,1
2017-05-17 18:36:41.000460,2017-05-17 18:36:40.994585,3804,sensor06-bend,0
2017-05-17 18:36:43.806672,2017-05-17 18:36:43.807087,3805,sensor06-bend,1
2017-05-17 19:14:21.559440,2017-05-17 19:14:21.589946,3814,sensor06-bend,0
2017-05-17 19:14:24.265767,2017-05-17 19:14:24.308699,3815,sensor06-bend,1
2017-05-17 19:15:35.532382,2017-05-17 19:15:35.574378,3818,sensor06-bend,0
2017-05-17 19:15:38.338203,2017-05-17 19:15:38.386876,3819,sensor06-bend,1
2017-05-17 19:16:49.003779,2017-05-17 19:16:49.011883,3822,sensor06-bend,0
2017-05-17 19:16:51.811515,2017-05-17 19:16:51.824428,3823,sensor06-bend,1
2017-05-17 19:18:47.276832,2017-05-17 19:18:47.277636,3828,sensor06-bend,0
2017-05-17 19:18:49.983566,2017-05-17 19:18:49.996388,3829,sensor06-bend,1
2017-05-17 19:20:47.862285,2017-05-17 19:20:47.902721,3834,sensor06-bend,0
2017-05-17 19:20:50.569515,2017-05-17 19:20:50.621474,3835,sensor06-bend,1
2017-05-17 19:22:46.147564,2017-05-17 19:22:46.184056,3840,sensor06-bend,0
2017-05-17 19:22:48.853532,2017-05-17 19:22:48.902764,3841,sensor06-bend,1
